inci_name,id,potency_tier,time_of_day,barrier_tax_score,sun_sensitivity
collagen vegan,1,1,ANY,0,False
water aqua,2,1,ANY,0,False
ethylhexyl palmitate,3,1,ANY,0,False
oryza sativa rice bran extract,4,1,ANY,0,False
glycerin,6,1,ANY,0,False
cetearyl methicone,7,1,ANY,0,False
dimethicone,8,1,ANY,0,False
cetearyl alcohol,9,1,ANY,0,False
pyrus malus apple fruit extract,10,1,ANY,0,False
chlorella protothecoides oil,11,1,ANY,0,False
polysorbate 60,12,1,ANY,0,False
glyceryl glucoside,13,1,ANY,0,False
polyglyceryl-2 stearate,14,1,ANY,0,False
parachlorella beijerinckii exopolysaccharides,15,1,ANY,0,False
collagen amino acids vegan,16,1,ANY,0,False
ceramide np,17,1,ANY,0,False
silybum marianum fruit extract,18,1,ANY,0,False
helianthus annuus sunflower extract,19,1,ANY,0,False
rosmarinus officinalis rosemary leaf extract,20,1,ANY,0,False
carnosine,22,1,ANY,0,False
sodium stearoyl glutamate,23,1,ANY,0,False
caprylyl glycol,24,1,ANY,0,False
hexylene glycol,27,1,ANY,0,False
citric acid,28,1,ANY,0,False
lecithin,29,1,ANY,0,False
sodium hydroxide,30,1,ANY,0,False
sodium phytate,31,1,ANY,0,False
t-butyl alcohol,32,1,ANY,0,False
phenoxyethanol,34,1,ANY,0,False
triethyl citrate,35,1,ANY,0,False
vanillin,36,1,ANY,0,False
amyl salicylate,37,1,ANY,0,False
benzyl acetate,38,1,ANY,0,False
cedrus atlantica bark oil,39,1,ANY,0,False
phenethyl alcohol,40,1,ANY,0,False
ionone,41,1,ANY,0,False
linalool,42,1,ANY,0,False
propanediol,43,1,ANY,0,False
isononyl isononanoate,44,1,ANY,0,False
butylene glycol,45,1,ANY,0,False
betaine,46,1,ANY,0,False
dextrin palmitate,48,1,ANY,0,False
helichrysum stoechas flower extract,49,1,ANY,0,False
cylindrotheca fusiformis extract,50,1,ANY,0,False
niacinamide,51,3,ANY,0,False
palmitoyl tripeptide-1,52,1,ANY,0,False
adenosine,54,1,ANY,0,False
helianthus annuus sunflower seed oil,55,1,ANY,0,False
palmitic acid,56,1,ANY,0,False
disodium edta,57,1,ANY,0,False
carbomer,58,1,ANY,0,False
sodium lactate,59,1,ANY,0,False
amodimethicone,60,1,ANY,0,False
homosalate,61,2,AM,0,False
polysorbate 20,62,1,ANY,0,False
butyl methoxydibenzoylmethane,63,1,ANY,0,False
1,64,1,ANY,0,False
octocrylene,66,2,AM,0,False
fragrance parfum,67,1,ANY,0,False
limonene,68,1,ANY,0,True
beta-carotene ci 40800,69,1,ANY,0,False
stearic acid,71,1,ANY,0,False
isopropyl isostearate,72,1,ANY,0,False
pentylene,73,1,ANY,0,False
glycol,74,1,ANY,0,False
glyceryl stearate se,75,1,ANY,0,False
butyrospermum parkii shea butter,76,1,ANY,0,False
c12-15 alkyl benzoate,77,1,ANY,0,False
limnanthes alba meadowfoam seed oil,78,1,ANY,0,False
corallina officinalis extract,79,1,ANY,0,False
dunaliella salina extract,80,1,ANY,0,False
undaria pinnatifida extract,81,1,ANY,0,False
dipeptide-2,82,1,ANY,0,False
palmitoyl hexapeptide-12,83,1,ANY,0,False
palmitoyl tripeptide-5,84,1,ANY,0,False
sodium hyaluronate,85,1,ANY,0,False
caffeine,86,1,ANY,0,False
coffea arabica coffee seed oil,87,1,ANY,0,False
tribehenin,88,1,ANY,0,False
ceramide ng,89,1,ANY,0,False
peg-10 phytosterol,90,1,ANY,0,False
tetrahexyldecyl ascorbate,91,1,ANY,0,False
aloe barbadensis leaf juice,92,1,ANY,0,False
tocopheryl acetate,93,1,ANY,0,False
bambusa vulgaris leafstem extract,94,1,ANY,0,False
pisum sativum pea,95,1,ANY,0,False
extract,96,1,ANY,0,False
glucosamine hcl,97,1,ANY,0,False
camellia sinensis leaf extract,98,1,ANY,0,False
cucumis sativus cucumber fruit extract,99,1,ANY,0,False
dimethicone crosspolymer,100,1,ANY,0,False
panthenol,101,1,ANY,0,False
pantolactone,102,1,ANY,0,False
pfaffia paniculata root extract,104,1,ANY,0,False
ptychopetalum olacoides barkstem extract,105,1,ANY,0,False
lilium candidum flower extract,106,1,ANY,0,False
rubus idaeus raspberry leaf extract,107,1,ANY,0,False
aloe barbadensis leaf juice powder,108,1,ANY,0,False
phospholipids,110,1,ANY,0,False
aminomethyl propanol,113,1,ANY,0,False
lactic acid,114,3,PM,3,True
hesperidin methyl chalcone,115,1,ANY,0,False
sodium citrate,117,1,ANY,0,False
chlorhexidine digluconate,118,1,ANY,0,False
benzyl alcohol,120,1,ANY,0,False
sodium benzoate,121,1,ANY,0,False
diglycerin,122,1,ANY,0,False
menthoxypropanediol,123,1,ANY,0,False
acmella oleracea extract,124,1,ANY,0,False
brassica alba sprout extract,125,1,ANY,0,False
hydroxymethoxyphenyl propylmethylmethoxybenzofuran,126,1,ANY,0,False
methyl gluceth-20,127,1,ANY,0,False
sorbic acid,128,1,ANY,0,False
stevia rebaudiana extract,129,1,ANY,0,False
aroma,130,1,ANY,0,False
benzyl benzoate,131,1,ANY,0,False
octinoxate 75,132,1,ANY,0,False
titanium dioxide 2,133,2,AM,0,False
zinc oxide 171,134,2,AM,0,False
alcohol denat,136,1,ANY,0,False
polyglyceryl-3 polydimethylsiloxyethyl dimethicone,137,1,ANY,0,False
methyl methacrylate crosspolymer,138,1,ANY,0,False
peg-9 polydimethylsiloxyethyl dimethicone,140,1,ANY,0,False
echinacea purpurea extract,141,1,ANY,0,False
camellia oleifera leaf extract,142,1,ANY,0,False
arctostaphylos uva ursi leaf extract,143,1,ANY,0,False
glycyrrhiza glabra licorice root extract,144,1,ANY,0,False
triethoxysilylethyl polydimethylsiloxyethyl hexyl dimethicone,145,1,ANY,0,False
bht,146,1,ANY,0,False
aluminum hydroxide,147,1,ANY,0,False
hexyl cinnamal,148,1,ANY,0,False
hydrogenated polyisobutene,149,1,ANY,0,False
glyceryl stearate,150,1,ANY,0,False
potassium cetyl phosphate,152,1,ANY,0,False
cynara scolymus artichoke leaf extract,153,1,ANY,0,False
retinyl palmitate,154,1,ANY,0,False
astragalus membranaceus root extract,155,1,ANY,0,False
atractylodes macrocephala root extract,156,1,ANY,0,False
iris florentina root extract,157,1,ANY,0,False
bupleurum falcatum root extract,158,1,ANY,0,False
stearalkonium bentonite,161,1,ANY,0,False
silica,162,1,ANY,0,False
cetyl alcohol,163,1,ANY,0,False
propylene carbonate,164,1,ANY,0,False
quartz,165,1,ANY,0,False
chlorphenesin,166,1,ANY,0,False
coumarin,167,1,ANY,0,False
sucrose laurate,168,1,ANY,0,False
olea europaea olive fruit oil,169,1,ANY,0,False
persea gratissima avocado oil,170,1,ANY,0,False
algae exopolysaccharides,171,1,ANY,0,False
prunus amygdalus dulcis sweet almond oil,172,1,ANY,0,False
vaccinium myrtillus seed oil,173,1,ANY,0,False
chromium oxide greens ci 77288,174,1,ANY,0,False
sodium cocoyl isethionate,175,1,ANY,0,False
cocamidopropyl betaine,176,1,ANY,0,False
dimethicone peg-8 meadowfoamate,177,1,ANY,0,False
hamamelis virginiana water hamamelis virginiana witch hazel water,178,1,ANY,0,False
sodium lauroyl oat amino acids,179,1,ANY,0,False
pyrus malus fruit extract pyrus malus apple fruit extract,180,1,ANY,0,False
citrus medica limonum fruit extract citrus medica limonum lemon fruit extract,181,1,ANY,0,True
citrus aurantium dulcis fruit extract citrus aurantium dulcis orange fruit extract,182,1,ANY,0,True
saccharum officinarum extract saccharum officinarum sugar cane extract,183,1,ANY,0,False
glycyrrhiza glabra root extract glycyrrhiza glabra licorice root extract,184,1,ANY,0,False
jojoba alcohol,185,1,ANY,0,False
potassium jojobate,186,1,ANY,0,False
lauryl lactyl lactate,187,1,ANY,0,False
benzoic acid,188,1,ANY,0,False
sodium chloride,189,1,ANY,0,False
xanthan gum,190,1,ANY,0,False
cetearyl ethylhexanoate,191,1,ANY,0,False
ceramide 3,192,1,ANY,0,False
alaria esculenta extract,193,1,ANY,0,False
rosmarinus officinalis leaf extract,194,1,ANY,0,False
helianthus annuus seed oil,195,1,ANY,0,False
cymbopogon martini oil,196,1,ANY,0,False
geraniol,197,1,ANY,0,False
butyrospermum parkii butter butyrospermum parkii shea butter,198,1,ANY,0,False
squalane,199,1,ANY,0,False
ascorbyl glucoside,200,1,ANY,0,False
algae extract,201,1,ANY,0,False
citrullus vulgaris fruit extract citrullus vulgaris watermelon fruit extract,202,1,ANY,0,False
lens esculenta fruit extract lens esculenta lentil fruit extract,203,1,ANY,0,False
oleanolic acid,204,1,ANY,0,False
palmitoyl oligopeptide,205,1,ANY,0,False
enantia chlorantha bark extract,206,1,ANY,0,False
crithmum maritimum extract,207,1,ANY,0,False
silybum marianum seed oil,208,1,ANY,0,False
hydrogenated vegetable oil,209,1,ANY,0,False
fragrance,210,1,ANY,0,False
sodium pca,211,1,ANY,0,False
polymethylsilsesquioxane,213,1,ANY,0,False
ethoxydiglycol,215,1,ANY,0,False
vinyl dimethicone methicone silsesquioxane crosspolymer,216,1,ANY,0,False
peg-12 dimethicone,217,1,ANY,0,False
vegetable collagen,218,1,ANY,0,False
plantago lanceolata leaf extract,219,1,ANY,0,False
sorbitan isostearate,220,1,ANY,0,False
sodium lauroyl lactylate,221,1,ANY,0,False
ceramide ap,222,1,ANY,0,False
ceramide eop,223,1,ANY,0,False
phytosphingosine,224,1,ANY,0,False
cholesterol,225,1,ANY,0,False
ascorbic acid,226,4,AM,3,False
triheptanoin,227,1,ANY,0,False
pseudoalteromonas ferment extract,228,1,ANY,0,False
c13-15 alkane,229,1,ANY,0,False
