ingredient_id_1,ingredient_id_2,interaction_type
403,226,conflict
226,403,conflict
403,243,conflict
243,403,conflict
403,297,conflict
297,403,conflict
403,114,conflict
114,403,conflict
403,6499,conflict
6499,403,conflict
403,467,conflict
467,403,conflict
226,297,conflict
297,226,conflict
226,243,conflict
243,226,conflict
226,114,conflict
114,226,conflict
226,467,conflict
467,226,conflict
297,243,conflict
243,297,conflict
297,114,conflict
114,297,conflict
6499,226,conflict
226,6499,conflict
226,463,synergy
463,226,synergy
226,4613,synergy
4613,226,synergy
463,4613,synergy
4613,463,synergy
403,51,synergy
51,403,synergy
403,464,synergy
464,403,synergy
403,17,synergy
17,403,synergy
403,101,synergy
101,403,synergy
403,199,synergy
199,403,synergy
403,642,synergy
642,403,synergy
243,51,synergy
51,243,synergy
243,464,synergy
464,243,synergy
243,1386,synergy
1386,243,synergy
297,464,synergy
464,297,synergy
114,17,synergy
17,114,synergy
17,101,synergy
101,17,synergy
17,199,synergy
199,17,synergy
642,101,synergy
101,642,synergy
231,199,synergy
199,231,synergy
231,51,synergy
51,231,synergy
231,464,synergy
464,231,synergy
296,51,synergy
51,296,synergy
296,464,synergy
464,296,synergy
403,1050,conflict
1050,403,conflict
1050,6499,conflict
6499,1050,conflict
1050,226,conflict
226,1050,conflict
1050,297,conflict
297,1050,conflict
1050,243,conflict
243,1050,conflict
1050,114,conflict
114,1050,conflict
136,403,conflict
403,136,conflict
17,222,synergy
222,17,synergy
17,223,synergy
223,17,synergy
222,223,synergy
223,222,synergy
51,665,synergy
665,51,synergy
464,85,synergy
85,464,synergy
312,642,synergy
642,312,synergy
697,463,synergy
463,697,synergy
144,51,synergy
51,144,synergy
101,476,synergy
476,101,synergy
775,464,synergy
464,775,synergy
355,51,synergy
51,355,synergy
3101,51,synergy
51,3101,synergy
3777,3779,synergy
3779,3777,synergy
1131,226,synergy
226,1131,synergy
