product_id,ingredient_id,concentration_rank
P107306,45,1
P107306,4937,2
P107306,4609,3
P107306,813,4
P107306,586,5
P107306,6,6
P107306,1299,7
P107306,814,8
P107306,163,9
P107306,71,10
P107306,150,11
P107306,3881,12
P107306,3856,13
P107306,1369,14
P107306,8,15
P107306,1078,16
P107306,775,17
P107306,4872,18
P107306,890,19
P107306,2046,20
P107306,1729,21
P107306,46,22
P107306,1118,23
P107306,157,24
P107306,4938,25
P107306,989,26
P107306,861,27
P107306,205,28
P107306,3916,29
P107306,403,30
P107306,85,31
P107306,4111,32
P107306,460,33
P107306,4613,34
P107306,315,35
P107306,643,36
P107306,82,37
P107306,115,38
P107306,942,39
P107306,211,40
P107306,101,41
P107306,1225,42
P107306,5909,43
P107306,29,44
P107306,58,45
P107306,62,46
P107306,1283,47
P107306,113,48
P107306,57,49
P107306,162,50
P107306,34,51
P107306,24,52
P107306,166,53
P107306,294,54
P114902,4893,1
P114902,136,2
P114902,6505,3
P114902,45,4
P114902,297,5
P114902,1811,6
P114902,92,7
P114902,383,8
P114902,30,9
P114902,529,10
P114902,67,11
P114902,2580,12
P114902,98,13
P114902,34,14
P114902,860,15
P114902,476,16
P114902,1366,17
P114902,2977,18
P114902,42,19
P114902,68,20
P114902,188,21
P114902,197,22
P114902,273,23
P114902,425,24
P114902,28,25
P114902,4614,26
P114902,121,27
P114902,120,28
P114902,608,29
P114902,131,30
P12045,1191,1
P12045,1197,2
P12045,1203,3
P122651,6505,1
P122651,136,2
P122651,6,3
P122651,45,4
P122651,1632,5
P122651,890,6
P122651,243,7
P122651,1133,8
P122651,85,9
P122651,30,10
P122651,1758,11
P122651,57,12
P122651,34,13
P122651,1428,14
P122651,1358,15
P122651,1676,16
P122661,816,1
P122661,821,2
P122661,1354,3
P122661,45,4
P122661,150,5
P122661,622,6
P122661,942,7
P122661,162,8
P122661,9,9
P122661,6123,10
P122661,669,11
P122661,1242,12
P122661,312,13
P122661,1662,14
P122661,1366,15
P122661,1663,16
P122661,24,17
P122661,64,18
P122661,1449,19
P122661,945,20
P122661,58,21
P122661,57,22
P122661,34,23
P122661,4614,24
P122661,1664,25
P122718,6505,1
P122718,150,2
P122718,162,3
P122718,27,4
P122718,1626,5
P122718,1627,6
P122718,321,7
P122718,243,8
P122718,1628,9
P122718,1629,10
P122718,1630,11
P122718,1583,12
P122718,34,13
P122718,1431,14
P122718,1631,15
P122727,76,1
P122727,9,2
P122727,45,3
P122727,149,4
P122727,907,5
P122727,3985,6
P122727,1164,7
P122727,336,8
P122727,402,9
P122727,1614,10
P122727,427,11
P122727,6,12
P122727,575,13
P122727,1609,14
P122727,1590,15
P122727,1131,16
P122727,1120,17
P122727,1604,18
P122727,325,19
P122727,1061,20
P122727,518,21
P122727,225,22
P122727,86,23
P122727,205,24
P122727,199,25
P122727,224,26
P122727,85,27
P122727,8,28
P122727,24,29
P122727,1323,30
P122727,1063,31
P122727,390,32
P122727,1594,33
P122727,3881,34
P122727,93,35
P122727,71,36
P122727,64,37
P122727,1449,38
P122727,2552,39
P122727,1205,40
P122727,91,41
P122727,113,42
P122727,1622,43
P122727,34,44
P122727,57,45
P122727,294,46
P122727,1726,47
P122762,6505,1
P122762,1655,2
P122762,6,3
P122762,1656,4
P122762,733,5
P122762,1657,6
P122762,1658,7
P122762,1659,8
P122762,1660,9
P122762,1661,10
P122762,45,11
P122762,85,12
P122762,849,13
P122762,57,14
P122762,34,15
P122762,1625,16
P122762,1576,17
P122767,8,1
P122767,1608,2
P122767,390,3
P122767,907,4
P122767,366,5
P122767,1763,6
P122767,1131,7
P122767,45,8
P122767,5759,9
P122767,6204,10
P122767,93,11
P122767,243,12
P122767,1764,13
P122767,1765,14
P122767,1132,15
P122767,1766,16
P122767,1135,17
P122767,85,18
P122767,1767,19
P122767,110,20
P122767,225,21
P122767,1587,22
P122767,383,23
P122767,1606,24
P122767,1768,25
P122767,402,26
P122767,336,27
P122767,1769,28
P122767,1298,29
P122767,1770,30
P122767,1669,31
P122767,189,32
P122767,24,33
P122767,27,34
P122767,4614,35
P122767,1771,36
P122774,4602,1
P122774,1607,2
P122774,879,3
P122774,45,4
P122774,390,5
P122774,1608,6
P122774,1128,7
P122774,86,8
P122774,224,9
P122774,1135,10
P122774,757,11
P122774,1609,12
P122774,1132,13
P122774,1131,14
P122774,225,15
P122774,518,16
P122774,93,17
P122774,595,18
P122774,1074,19
P122774,336,20
P122774,6,21
P122774,8,22
P122774,1116,23
P122774,6158,24
P122774,1126,25
P122774,6204,26
P122774,164,27
P122774,189,28
P122774,1611,29
P122774,57,30
P122774,34,31
P122774,338,32
P122774,1612,33
P122774,1613,34
P122782,384,1
P122782,1732,2
P122782,1126,3
P122782,813,4
P122782,879,5
P122782,1733,6
P122782,1734,7
P122782,162,8
P122782,1164,9
P122782,5759,10
P122782,6505,11
P122782,1604,12
P122782,756,13
P122782,940,14
P122782,1097,15
P122782,20,16
P122782,93,17
P122782,1206,18
P122782,1616,19
P122782,749,20
P122782,1120,21
P122782,76,22
P122782,6,23
P122782,1667,24
P122782,981,25
P122782,1735,26
P122782,1572,27
P122782,518,28
P122782,225,29
P122782,1685,30
P122782,1687,31
P122782,1063,32
P122782,1736,33
P122782,1737,34
P122782,199,35
P122782,2292,36
P122782,1738,37
